Master Time (s),gravity_x,gravity_y,gravity_z,lin_accel_x,lin_accel_y,lin_accel_z
12.277032,8.010000,5.540000,1.070000,,,
12.278247,,,,0.210000,-1.060000,-0.970000
12.278368,7.950000,5.610000,1.120000,,,
12.401887,,,,0.310000,2.960000,0.260000
12.401925,7.760000,5.880000,1.110000,,,
12.460956,,,,-0.090000,-0.690000,-0.330000
12.461185,7.820000,5.800000,1.100000,,,
12.567933,7.580000,6.100000,1.200000,,,
12.568093,,,,6.430000,3.160000,1.520000
12.627161,,,,0.810000,-2.820000,2.250000
12.627250,7.680000,5.870000,1.620000,,,
12.710644,,,,0.270000,-1.430000,0.140000
12.710730,7.790000,5.640000,1.900000,,,
12.810687,,,,0.390000,-0.910000,-0.430000
12.810849,8.020000,5.140000,2.290000,,,
12.860761,,,,-0.120000,-0.710000,-1.240000
12.860887,8.440000,4.140000,2.760000,,,
12.944748,,,,0.500000,-0.930000,-0.940000
12.944874,8.740000,3.360000,2.890000,,,
12.977441,,,,-1.110000,-0.640000,-1.580000
13.077258,8.930000,2.790000,2.930000,,,
13.127908,,,,-0.390000,0.270000,-1.200000
13.128038,9.150000,2.050000,2.840000,,,
13.160752,,,,-0.920000,5.590000,-2.780000
13.161047,9.190000,1.650000,2.970000,,,
13.244465,,,,2.770000,-2.870000,-1.470000
13.294519,9.080000,1.860000,3.170000,,,
13.294901,,,,-2.510000,4.290000,-4.770000
13.295022,8.960000,2.130000,3.360000,,,
13.411390,,,,-0.250000,2.690000,-1.180000
13.411708,8.780000,2.910000,3.220000,,,
13.511087,,,,-0.130000,-0.510000,-0.660000
13.511216,8.630000,3.520000,3.010000,,,
13.570789,,,,-0.220000,-0.380000,0.220000
13.571031,8.480000,4.050000,2.770000,,,
13.669559,,,,-0.050000,1.440000,-1.250000
13.669687,8.200000,4.840000,2.320000,,,
13.778573,,,,0.120000,0.600000,-0.360000
13.778700,7.960000,5.420000,1.800000,,,
13.838644,,,,0.120000,-0.060000,-0.760000
13.838775,7.880000,5.680000,1.290000,,,
13.894864,,,,0.250000,-0.200000,-0.750000
13.894994,7.820000,5.820000,1.040000,,,
13.945727,,,,0.140000,-0.020000,-0.450000
13.945855,7.750000,5.940000,0.830000,,,
