Time (s),A0C0,A0C1,A0C2,A1C0,A1C1,A1C2,A1C3,A2C0,A2C1,A2C2,A2C3
14.245259,25.841818,22.341818,6.363636,48.853634,60.772728,34.136364,1.205455,0.136364,0.136364,1.568182,0.159091
14.328603,26.318182,1.750909,6.545455,0.444545,39.205456,12.569092,2.569091,0.148182,0.148182,0.886364,0.159091
14.378705,2.887273,1.160000,0.454545,0.444545,3.160000,0.296364,2.818182,0.148182,0.136364,0.500000,0.148182
14.411637,0.590909,0.272727,0.272727,2.454545,0.272727,0.272727,0.296364,0.136364,0.148182,1.943636,0.148182
14.413954,0.296364,0.250909,0.272727,1.227273,0.272727,0.272727,0.250909,0.148182,0.136364,2.795455,0.148182
14.562365,0.296364,0.250909,0.296364,0.954545,0.272727,0.272727,0.250909,0.136364,0.136364,2.852727,0.148182
14.595379,0.296364,0.227273,0.250909,0.580909,0.250909,0.272727,0.272727,0.136364,0.125455,2.807273,0.159091
14.678648,0.296364,0.272727,0.272727,1.022727,0.272727,0.272727,0.272727,0.148182,0.148182,3.090909,0.159091
14.729092,0.296364,0.272727,0.272727,0.681818,0.272727,0.296364,0.272727,0.148182,0.136364,2.216364,0.148182
14.845957,0.296364,0.250909,0.272727,0.681818,0.250909,0.272727,0.272727,0.159091,0.136364,2.409091,0.159091
14.929020,0.296364,0.250909,0.272727,0.717273,0.250909,0.272727,0.272727,0.193636,0.136364,1.375455,0.159091
14.979492,0.296364,0.250909,0.272727,0.921818,0.272727,0.296364,0.272727,0.148182,0.136364,2.136364,0.159091
15.012606,0.387273,0.250909,0.272727,1.603637,0.272727,0.296364,0.272727,0.148182,0.136364,1.330000,0.148182
15.146681,0.387273,0.272727,0.296364,0.818182,0.272727,0.296364,0.272727,0.136364,0.136364,2.500000,0.148182
15.179360,0.387273,0.227273,0.272727,1.022727,0.272727,0.272727,0.296364,0.148182,0.148182,5.590909,0.159091
15.262859,0.318182,0.250909,0.272727,0.750000,0.272727,0.272727,0.296364,0.148182,0.148182,43.522724,2.431818
15.346057,0.500000,0.636364,0.250909,0.409091,2.318182,1.069091,2.705455,0.716364,0.136364,35.909092,3.352727
15.430023,1.114545,4.978182,0.272727,0.444545,11.705454,2.750909,6.432727,1.931818,0.136364,29.443636,0.750000
15.455930,1.841818,7.660000,0.705455,0.409091,22.387274,8.454546,6.387273,0.807273,0.148182,18.648182,0.204545
15.513833,4.887273,10.500000,5.114546,0.444545,37.932724,14.363637,3.954545,0.761818,0.148182,6.148182,0.148182
15.637801,5.181818,9.590909,5.000000,0.444545,43.296364,16.205454,2.454546,0.284545,0.136364,3.522727,0.136364
15.696894,4.727273,8.978182,5.840000,17.694546,45.569092,16.478182,1.454546,0.148182,0.136364,3.000000,0.148182
15.747306,4.387273,8.841818,6.681818,24.409092,50.818184,19.863638,0.909091,0.136364,0.136364,3.057273,0.148182
15.830391,5.363636,11.590909,8.432727,27.717274,53.432724,22.954546,0.636364,0.148182,0.148182,2.943636,0.159091
15.863753,7.045455,9.160000,12.887274,32.217274,64.478180,28.818184,1.114545,0.136364,0.136364,2.545455,0.159091
15.946637,9.090909,6.636364,17.205456,35.727276,66.136368,30.090910,0.749091,0.125455,0.136364,2.330000,0.148182
