Master Time (s),imag_part_kohm,impedance_change_speed_ohm_per_s,impedance_magnitude_ohm,impedance_phase_deg,real_part_kohm
34.614962,-79.190443,-758.177496,114232.333569,-43.887147,82.328001
34.665100,-79.253104,-200.442617,114282.452005,-43.906570,82.337260
34.749216,-79.215639,-146.595746,114250.389200,-43.895971,82.328816
34.881975,-79.302529,436.806570,114366.080533,-43.900612,82.405760
34.959423,-79.278974,334.732873,114337.813966,-43.897861,82.389198
35.065221,-79.476676,1114.076152,114639.743263,-43.889783,82.617968
35.181956,-80.045685,3565.790479,115418.634159,-43.909779,83.151365
35.208961,-80.285142,4387.484990,115790.495326,-43.897117,83.437011
35.415968,-80.550688,4150.558935,116174.562307,-43.896601,83.714489
35.443688,-80.741647,4270.252473,116511.866023,-43.867323,83.998817
35.532509,-80.572149,2446.662735,116246.960927,-43.876948,83.794300
35.649304,-83.274251,16586.975317,120282.642064,-43.814152,86.794661
35.766129,-88.289087,33234.447547,128501.348294,-43.398414,93.368269
35.850087,-91.058828,54305.179376,132915.277749,-43.242627,96.823349
35.966270,-91.556221,42988.269492,133687.794448,-43.223891,97.416039
36.083113,-91.905528,16030.941376,134211.551689,-43.218391,97.806516
36.199781,-92.110607,4530.753016,134501.871796,-43.222058,98.012191
36.259526,-92.242762,3396.619600,134714.631222,-43.214151,98.179961
36.376591,-92.085699,1029.023189,134483.103569,-43.215010,98.009842
36.434328,-92.064128,405.690250,134389.965598,-43.239705,97.902294
36.550498,-90.346253,-6846.984746,131807.339897,-43.270358,95.972545
36.667233,-82.752051,-48733.767118,119986.887783,-43.604450,86.884701
36.727291,-76.136298,-68066.627033,109710.330002,-43.945646,78.991269
36.843935,-77.689438,-71655.124301,112005.781260,-43.917342,80.682379
36.977385,-81.481465,1143.728535,117654.246127,-43.832315,84.872213
37.035086,-82.819161,9663.206311,119664.347726,-43.796219,86.374433
37.167529,-82.907889,24457.972570,119804.919598,-43.790546,86.484107
37.350879,-83.024666,4953.281764,120083.066461,-43.740527,86.757407
37.351115,-83.774651,6268.689346,121291.571815,-43.684607,87.712332
37.484446,-88.799419,28122.055631,129449.195645,-43.312642,94.190007
37.568408,-92.483589,65900.208098,135025.103179,-43.230595,98.379694
37.628635,-92.747029,57296.043222,135401.656253,-43.233803,98.648858
37.818631,-92.439571,12755.804724,134952.941223,-43.233746,98.322032
37.895464,-92.103471,-1963.557334,134448.396154,-43.239304,97.945505
37.951527,-92.284035,-1672.984433,134698.941152,-43.244518,98.119629
