Time (s),impedance_magnitude_ohm
46.556680,116972.391890
46.643648,119015.622980
46.760400,120206.630283
46.877197,117941.485713
46.906024,117019.734088
47.077392,115511.317667
47.194710,113054.254702
47.227554,112001.876322
47.360880,117850.867254
47.477776,127473.074632
47.505877,130068.808018
47.639120,130822.407894
47.773369,130875.110871
47.844695,130072.904056
47.978090,128784.672054
48.112502,126232.548784
48.144925,122853.417389
48.261854,111923.618063
48.378513,110397.117870
48.406432,113984.646103
48.523038,118610.141176
48.696221,123910.372136
48.728928,125467.297200
48.845668,127066.916740
48.962503,128092.877969
49.045745,128084.082525
49.162709,125009.718979
49.280096,117888.828326
49.340061,114950.126105
49.456567,115246.114169
49.573606,126017.426870
49.629933,133176.389919
49.763468,134446.207999
49.896771,134784.339301
49.946757,134809.791297
50.080237,134757.012676
50.213818,134529.095032
50.313836,133474.874520
50.390831,131877.078435
50.480719,130133.204168
50.508194,124243.959782
50.624608,115219.706696
50.864350,119348.463386
50.864657,124776.120994
50.964756,131413.742981
51.098701,136177.451706
51.147948,136500.188223
51.281443,136602.406087
51.398759,136559.501092
51.478252,136333.485961
51.598471,134981.607697
51.699286,133612.114710
51.777883,130726.289972
51.865388,123075.411866
52.099026,117888.347653
52.099459,129474.411779
52.127007,133836.003994
52.243946,134896.903526
52.332508,135102.708164
52.465943,135220.864035
52.643729,135375.346450
52.643887,135429.244978
52.776686,135476.520757
52.949770,135434.319990
52.950082,135408.631650
53.066683,135493.662411
53.183428,135570.535725
53.243736,135513.984063
53.361472,135201.894631
53.477614,134550.693711
53.533751,133450.539994
53.650614,133353.290557
53.767301,132656.100428
53.827279,129603.254166
